Words; Positive; Negative; Neutral
ताजा ताजा: 1.0 0.0 0.0 
गरमा-गरम: 0.9999270903418944 9.773599892417718e-06 6.313605821318053e-05 
गरम-गरम: 0.9999270903418944 9.773599892417718e-06 6.313605821318053e-05 
साफ़: 0.9999244704464317 9.7915782361492e-06 6.573797533214804e-05 
गरमा गरम: 0.9999270903418944 9.773599892417718e-06 6.313605821318053e-05 
गर्मागर्म: 0.9999270903418944 9.773599892417718e-06 6.313605821318053e-05 
साफ सुथरा: 0.9999244704465741 9.7915781904878e-06 6.573797523540473e-05 
गर्मा गर्म: 0.9999270903418944 9.773599892417718e-06 6.313605821318053e-05 
स्वच्छ: 0.9999244704465107 9.791578237051724e-06 6.573797525225985e-05 
साफ-सुथरा: 0.9999244704465741 9.79157819048792e-06 6.573797523540553e-05 
अशुष्क: 0.7482070731290583 0.0 0.2517929268709417 
अम्लान: 1.0 0.0 0.0 
ताजा: 0.9999270903418944 9.773599892417718e-06 6.313605821318053e-05 
आला: 0.9999257777207902 9.659470378790224e-06 6.456280883101948e-05 
विमल: 0.9999244704465741 9.79157819048808e-06 6.573797523540662e-05 
गरमागरम: 0.9999270903418944 9.773599892417718e-06 6.313605821318053e-05 
साफ: 0.999924470446477 9.791578190268697e-06 6.573797533269109e-05 
ताज़ा-ताज़ा: 1.0 0.0 0.0 
आकर्षक: 0.9999172042703832 9.690416956419377e-06 7.310531266037029e-05 
दिलचस्प: 0.9999172042703832 9.690416956419377e-06 7.310531266037029e-05 
दिलकश: 0.9999172042703832 9.690416956419377e-06 7.310531266037029e-05 
लुभावना: 0.9999172042703832 9.690416956419377e-06 7.310531266037029e-05 
मोहक: 0.9999172042703832 9.690416956419377e-06 7.310531266037029e-05 
ख़ूबसूरत: 0.9999184486991771 9.731114612650317e-06 7.182018621026247e-05 
खूबसूरत: 0.9999184486991771 9.731114612650317e-06 7.182018621026247e-05 
मनोहर: 0.999917204269732 9.69041695726718e-06 7.310531331080719e-05 
गजब: 1.0 0.0 0.0 
जुल्म: 0.9998949853251661 9.04926565370777e-06 9.596540918022472e-05 
मुसीबत: 0.9996709678380331 3.227175603898537e-06 0.0003258049863629694 
रुष्टि: 0.9988481671893822 5.4174341609814285e-06 0.001146415376456869 
ज़ुल्मो सितम: 0.9998949853251661 9.04926565370777e-06 9.596540918022472e-05 
गजब का: 1.0 0.0 0.0 
ग़ज़ब का: 1.0 0.0 0.0 
अकाज: 0.9998605056669573 0.00013949433304272013 0.0 
ग़ज़ब: 1.0 0.0 0.0 
अपकार: 0.9999272068447052 9.80583660338351e-06 6.298731869145398e-05 
अनर्थ: 0.9998606271777003 0.00013937282229965157 0.0 
अन्याय: 0.9998949853251661 9.04926565370777e-06 9.596540918022472e-05 
अमर्ष: 0.9988481671893823 5.417434160980996e-06 0.0011464153764567774 
बहुत बुरा: 1.0 0.0 0.0 
खूब सारा: 0.9999279021685558 9.792986300657588e-06 6.230484514356186e-05 
सितम: 0.9998949853251661 9.04926565370777e-06 9.596540918022472e-05 
ज्यादती: 0.9999271162614719 9.700602184222016e-06 6.31831363439116e-05 
अनीति: 0.9998949853251661 9.04926565370777e-06 9.596540918022472e-05 
विपत्ति: 0.9996709678380331 3.227175603898537e-06 0.0003258049863629694 
विपदा: 0.9996709678380331 3.227175603898537e-06 0.0003258049863629694 
आक्रोश: 0.9988481671893816 5.417434161471412e-06 0.0011464153764568544 
ख़ूब सारा: 0.9999279021685558 9.792986300665806e-06 6.230484514361415e-05 
आपदा: 0.9996709678380331 3.227175603898537e-06 0.0003258049863629694 
आफ़त: 0.9998787669119039 8.488524487271807e-06 0.0001127445636087766 
गज़ब: 1.0 0.0 0.0 
हानि: 0.9999254311415493 1.0445140915752145e-05 6.412371753499595e-05 
क्षति: 0.9999254311415493 1.0445140915752145e-05 6.412371753499595e-05 
नुक़सान: 0.9999254311415493 1.0445140915752145e-05 6.412371753499595e-05 
गर्दिश: 0.9996709678380331 3.227175603898537e-06 0.0003258049863629694 
ढेर सारा: 0.9999279021685541 9.792986300887713e-06 6.230484514502596e-05 
ज़्यादती: 0.9999271162614719 9.700602184222016e-06 6.31831363439116e-05 
अत्यधिक: 0.999921335061253 9.626366860778026e-06 6.903857188621629e-05 
अनाचार: 0.9998949853251593 9.049265661490706e-06 9.596540917922672e-05 
अत्याचार: 0.9998949853251661 9.049265653789674e-06 9.596540918017014e-05 
गुस्सा: 0.9988481671893821 5.41743416098202e-06 0.0011464153764569943 
बदी: 0.9999958344615 4.165538499989586e-06 0.0 
इतना सारा: 0.9999279021685489 9.792986301602745e-06 6.230484514957514e-05 
खुन्नस: 0.9988481671893819 5.417434160982615e-06 0.00114641537645712 
अनखाहट: 0.9988481671893816 5.4174341609838045e-06 0.0011464153764573718 
रोष: 0.9988481671893812 5.417434160986183e-06 0.001146415376457875 
संकट: 0.9996709678380331 3.2271756038985663e-06 0.00032580498636296934 
प्रचुर: 0.9999279021685418 9.792986302556121e-06 6.23048451556407e-05 
ढेरों: 0.9999279021685278 9.792986304462873e-06 6.230484516777182e-05 
बहुत ख़राब: 1.0 0.0 0.0 
बहुत सारा: 0.9999279021684997 9.792986308276377e-06 6.230484519203405e-05 
क्रोध: 0.9988481671893801 5.417434160990941e-06 0.0011464153764588819 
शामत: 0.9996709678380331 3.227175603898537e-06 0.0003258049863629694 
खुनस: 0.9988481671893781 5.4174341610004554e-06 0.0011464153764608955 
बिगाड़: 0.9992760505220726 0.0007239494779274087 0.0 
कहर: 0.9996709678380331 3.227175603898537e-06 0.0003258049863629694 
बहुत ज्यादा: 0.9999279021684435 9.792986315903385e-06 6.230484524055854e-05 
हरज: 0.9998605105314549 0.00013948946854512484 0.0 
आफत: 0.9998787669119039 8.488524487271807e-06 0.0001127445636087766 
गज़ब का: 1.0 0.0 0.0 
बहुत-सा: 0.9999279021683238 9.79298633216831e-06 6.230484534403909e-05 
बहुत खराब: 1.0 0.0 0.0 
नुकसान: 0.9999254311415493 1.0445140915752145e-05 6.412371753499595e-05 
ज़ुल्म: 0.9998949853251661 9.04926565370777e-06 9.596540918022472e-05 
कोप: 0.9988481671893727 5.4174341610257716e-06 0.0011464153764662527 
उत्तम: 0.9999257833109926 9.659596106362172e-06 6.455709290105864e-05 
उम्दा: 0.9999257833109926 9.659596106362172e-06 6.455709290105864e-05 
बेहतरीन: 0.9999257833109926 9.659596106362172e-06 6.455709290105864e-05 
अकरा: 0.9999217557748071 9.628819696367384e-06 6.8615405496463e-05 
अनमोल: 0.9999257833457027 9.659602781174823e-06 6.45570515161466e-05 
उमदा: 0.9999257833109926 9.659596106362172e-06 6.455709290105864e-05 
उत्कृष्ट: 0.9999257833109926 9.659596106362172e-06 6.455709290105864e-05 
श्रेष्ठ: 0.9999264163021124 9.684827591969471e-06 6.389887029562618e-05 
पुराना: 0.9994439799214068 7.680363679620913e-06 0.0005483397149136382 
भूत: 0.0 0.0015293442936341044 0.998470655706366 
आँटना: 0.0 0.0 1.0 
पहले का: 0.0037398962480395706 0.0 0.9962601037519604 
विगत: 0.0 0.002489110143123833 0.9975108898568762 
पूर्व कालीन: 0.9995093677114562 7.680867501178295e-06 0.00048295142104271574 
भरना: 0.0 0.0 1.0 
गुज़रा: 0.999574463163041 5.846830352212409e-06 0.0004196900066068155 
